,target,word_count,stop_word_count,url_count,mean_word_length,char_count,punctuation_count,vector
6818,1,21,6,0,5.428571428571429,134,1,[0. 0. 0. ... 0. 0. 0.]
4842,1,19,8,1,5.421052631578948,121,8,[0. 0. 0. ... 0. 0. 0.]
5848,0,17,8,0,5.0,101,2,[0. 0. 0. ... 0. 0. 0.]
1851,0,12,3,1,8.083333333333334,108,8,[0. 0. 0. ... 0. 0. 0.]
5729,1,18,5,1,6.611111111111111,136,14,[0. 0. 0. ... 0. 0. 0.]
1295,1,21,6,1,5.666666666666667,139,7,[0. 0. 0. ... 0. 0. 0.]
5719,1,18,7,1,6.611111111111111,136,13,[0. 0. 0. ... 0. 0. 0.]
4988,0,12,1,1,8.083333333333334,108,10,[0. 0. 0. ... 0. 0. 0.]
7282,0,28,12,0,4.0,139,9,[0. 0. 0. ... 0. 0. 0.]
6918,0,9,5,0,4.0,44,5,[0. 0. 0. ... 0. 0. 0.]
1232,0,14,4,1,7.785714285714286,122,9,[0. 0. 0. ... 0. 0. 0.]
470,1,11,2,2,8.727272727272727,106,10,[0. 0. 0. ... 0. 0. 0.]
4173,0,11,4,0,4.818181818181818,63,3,[0. 0. 0. ... 0. 0. 0.]
889,0,9,4,1,6.555555555555555,68,11,[0. 0. 0. ... 0. 0. 0.]
4933,0,18,4,1,5.5,116,14,[0. 0. 0. ... 0. 0. 0.]
1135,1,22,10,1,5.227272727272728,136,5,[0. 0. 0. ... 0. 0. 0.]
2944,1,11,3,1,7.090909090909091,90,8,[0. 0. 0. ... 0. 0. 0.]
7281,1,8,2,1,7.625,68,6,[0. 0. 0. ... 0. 0. 0.]
2279,1,11,2,1,8.636363636363637,105,5,[0. 0. 0. ... 0. 0. 0.]
6819,0,10,4,0,4.4,53,1,[0. 0. 0. ... 0. 0. 0.]
5842,0,27,13,0,4.148148148148148,138,0,[0. 0. 0. ... 0. 0. 0.]
6615,0,14,2,1,6.857142857142857,109,8,[0. 0. 0. ... 0. 0. 0.]
807,0,24,12,0,4.291666666666667,126,1,[0. 0. 0. ... 0. 0. 0.]
3312,1,15,3,1,6.8,116,9,[0. 0. 0. ... 0. 0. 0.]
5995,0,5,2,0,5.4,31,2,[0. 0. 0. ... 0. 0. 0.]
7518,1,18,2,1,6.611111111111111,136,10,[0. 0. 0. ... 0. 0. 0.]
2339,0,21,11,0,4.476190476190476,114,1,[0. 0. 0. ... 0. 0. 0.]
3933,0,20,0,2,5.95,139,12,[0. 0. 0. ... 0. 0. 0.]
3017,0,20,5,1,5.5,129,11,[0. 0. 0. ... 0. 0. 0.]
4662,0,23,10,0,5.130434782608695,140,7,[0. 0. 0. ... 0. 0. 0.]
2454,1,9,0,0,6.111111111111111,63,1,[0. 0. 0. ... 0. 0. 0.]
6606,1,4,0,1,11.25,49,5,[0. 0. 0. ... 0. 0. 0.]
4038,0,21,10,0,3.6666666666666665,97,0,[0. 0. 0. ... 0. 0. 0.]
521,0,16,0,1,5.4375,102,8,[0. 0. 0. ... 0. 0. 0.]
4435,1,17,4,0,5.176470588235294,104,2,[0. 0. 0. ... 0. 0. 0.]
4659,0,18,3,0,6.722222222222222,138,3,[0. 0. 0. ... 0. 0. 0.]
1225,0,23,9,0,4.130434782608695,117,3,[0. 0. 0. ... 0. 0. 0.]
6078,1,8,0,1,8.0,71,5,[0. 0. 0. ... 0. 0. 0.]
6633,1,17,3,1,7.0588235294117645,137,10,[0. 0. 0. ... 0. 0. 0.]
3723,0,22,7,0,5.409090909090909,140,6,[0. 0. 0. ... 0. 0. 0.]
435,0,9,2,0,5.333333333333333,56,6,[0. 0. 0. ... 0. 0. 0.]
3861,0,7,2,0,6.285714285714286,50,1,[0. 0. 0. ... 0. 0. 0.]
7572,1,7,3,0,6.142857142857143,49,4,[0. 0. 0. ... 0. 0. 0.]
428,0,4,1,1,9.0,39,6,[0. 0. 0. ... 0. 0. 0.]
1361,1,16,8,0,6.25,115,3,[0. 0. 0. ... 0. 0. 0.]
3944,1,22,5,1,5.227272727272728,136,15,[0. 0. 0. ... 0. 0. 0.]
